Date,Titles
14-4-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Rural road building picked up speed under NDA | Mint. Jet Airways' independent director Rajshree Pathy resigns. 
17-4-2019,Tata to launch EVs in the sub-Rs. 15 lakh segment. Tata H2X EV (Tata Hornbill EV) with 230km range under development. New York Auto Show IN PICS: The Best Cars of NYIAS. 
19-4-2019,"Tata Tiago facelift spied once again undergoing high speed test. Tatas to shift another group co HQ to Bengal. Reliance records another bumper quarter with ₹10,362 crore net profit | Mint. "
20-4-2019,Tata Tigor and Tata Tiago gain Apple CarPlay support. Bhopal gas tragedy among world's major industrial accidents of 20th century: UN | Mint. Howrah-New Delhi Poorva Express derailment: No casualties; 14 passengers injured. 
24-4-2019,"Upcoming Tata Electric Cars in India: Tata Altroz, Tiago, and More. Maruti takes a lead, launches BS 6 compliant Baleno and Alto | Mint. Tata Elxsi to get new CEO in October. "
26-4-2019,MASSA gets Tata Teleservices nod for seafarers to operate VSNL email untill June 15. Two injured in Tata Steel UK plant blast | Mint. New car launches in May 2019. 
27-4-2019,Tata Tigor facelift spied testing again with Tata Altroz inspired face. Chinese smartphone brands increase India market share | Mint. Lok Sabha elections 2019: Widow of slain TMC MLA hits campaign trail in West Bengal. 
28-4-2019,"MASSA gets Tata Teleservices nod for seafarers to operate VSNL email untill June 15. Not getting monetary benefit from Mumbai Indians, says Sachin Tendulkar | Mint. UP Board Results 2019: Lucknow’s overall performance good. "
29-4-2019,"TN Class 10 Results 2019: Tamil Nadu Board SSLC to declare results tomorrow; here's how to check. FBI offers $10,000 reward for info on missing Indian student Mayushi Bhagat in New Jersey | Mint. Tata Motors partners Nirma University for B.Tech degree for Sanand workforce. "
30-4-2019,"Kotak Mahindra Bank posts Rs 4,865.33 crore profit in FY19, asset quality improves. Tata Motors incorporates WHS - Brabo Robotics and Automation. EV sales in India cross 750,000 units in FY2019 but FAME II may spoil the run. "
2-5-2019,"Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Zero production, sale of Tata Nano in January. TATA STEEL ALL SET TO CELEBRATE THE 180th BIRTH ANNIVERSARY OF IT'S FOUNDER. "
3-5-2019,"Australia auto lobby split widens as Tesla, Volkswagen back tougher emissions plan. Tata Altroz Could Be The Production Name Of The 45X Concept. Tata Motors unveils 4 new cars for Indian market. "
4-5-2019,"3:5 bonus shares, 1:10 stock split: Multibagger SME stock turns ₹1 lakh an allottee into ₹4.41 lakh in 5 years | Mint. ARC Industry Forum India 2019. AAAR, Kerala: Allows compensation cess credit on vehicles used in rental business whereby ITC is reversed .... "
5-5-2019,Indian man gets 16 years jail-time for raping student in Singapore. Warren Buffett never loses sleep on Berkshire Hathaway’s future but is worried about… | Mint. Explained: Impact of Tata Motors phasing out small diesel cars. 
6-5-2019,BT Insight: Tata MF resorts to side-pocketing; what should investors do?. Tata Steel organises Environment Painting Competition. World Bank retains India's growth rate forecast for FY19-20 at 7.5% | Mint. 
7-5-2019,"Revolt RV 400 will be serviced and maintained by GoMechanic. Top gainers, losers today: JSW Steel, Tata Steel, ITC, Asian Paints among most active stock | Mint. Stock Market Today: Sensex, Nifty end higher; mid, smallcaps underperform | Mint. "
8-5-2019,"India Commercial Papers deals on F-TRAC-Jul 1. Kargil set for council polls on Oct 4, first since Article 370 repeal; BJP vs Congress-NC contest on cards | Mint. Article 370 updates: SC bench to conclude hearing tomorrow, says CJI DY Chandrachud | Mint. "
9-5-2019,"Kia Seltos outsells Hyundai Creta in August 2019. Seltos powers Kia India exports with 70% of 150,000 units. Honda, Suzuki alter 2-wheeler production plans amid weak sales | Mint. "
10-5-2019,JTP Experience - My Red Tata Tiago JTP. Tata Tiago Now Gets A Lively Wizz Edition!. India Has 150 Million Drivers and Only 8000 Want Electric Cars. 
11-5-2019,Why does the Tata Nexon's floorboard have a member only on the driver's side?. YES Bank share rallies over 8% after Rakesh Jhunjhunwala buys 1.3 crore shares. Upcoming Toyota Raize Subcompact SUV Images Ahead Of Reveal. 
13-5-2019,"F-21 jets will not be sold to any other country if it wins IAF deal, says Lockheed. Indian smartphone market grew by 7.1%, despite global decline: IDC | Mint. Hero Maestro Edge 125 Launch Date Announced. "
14-5-2019,"OEMs dispatch record 393,074 PVs in January to feed SUV-hungry market. Top 10 Arbitration Judgments [January To September 2023]. Mahindra XUV300 turns five on Valentine’s Day ’24, sells over 240,000 units since launch. "
15-5-2019,Tata Group to consolidate FMCG Business; announces Tata Chemicals transfer to Tata Global Beverages. Autocar Professional's May 15 magazine edition packs many an ace. MG Motor India Commences Production Of Hector SUV At Its Halol Facility. 
16-5-2019,"Sensex Rises 90 Points, Nifty Trades Above 11,180. Why the second-hand car market is seeing a boom | Mint. Fourth-Gen BMW X5 To Launch On May 16. "
18-5-2019,"Volkswagen Vento 2015-2019 Price, Images, Mileage, Reviews, Specs. IKEA India launches free Shuttle Service in Hyderabad. GBSHSE Goa Board 10th SSC Result 2019 to be declared on May 21, check details here. "
19-5-2019,"On The Rise. Bajaj Auto to roll out new models this year | Mint. Alka Lamba: Alka Lamba INC from CHANDNI CHOWK in Delhi Elections | Alka Lamba News, images and videos. "
20-5-2019,"Tata Motors posts net loss of Rs 28,826 crore in FY19, JLR turns profitable in Q4. Revenue Falls As Tata Motors Ends FY 2019. Tata Motors profits fall 47% amid Jaguar Land Rover China slowdown. "
21-5-2019,"Hyundai Venue drives past 400,000 sales in 47 months since launch. Hyundai Venue expected to be launched in India on May 21, 2019. Tata Motors to phase out multi-seater people carriers. "
22-5-2019,Adaptive AUTOSAR stack for Great Wall Motors. Tata Motors launches compact truck Intra priced at Rs 5.35 lakh. Tata Motors launches compact truck Intra priced at ₹5.35 lakh | Mint. 
24-5-2019,"India Commercial Papers deals on F-TRAC-Mar 8. Tata Tiago 2015-2019 Price, Images, Mileage, Reviews, Specs. Tata Harrier vehicle is classified under heading 8703 with compensation rate @ 22% : AAR, Maharashtra. "
25-5-2019,"Tata Tiago updated with standard safety features. Singur farmers want Locket to get Tatas back. Manpasand Beverages MD, CFO arrested in Rs 40 crore GST tax invasion and invoice fraud case. "
26-5-2019,"Tata Steel organises Environment Painting Competition. CLAT 2019 exam today: Check time, exam pattern, documents to carry. Vistara promoters infuse more than ₹4,000 crore over 12 months | Mint. "
27-5-2019,"Closing Bell: Nifty ends above 11,900, Sensex up 248 points; Tata Steel surges 5%. Tata Tiago updated with new standard safety features. BJP secures 50% or more vote share in 16 states, UTs together | Mint. "
29-5-2019,Walmart appoints former Google executive Suresh Kumar as chief technology officer. Truck manufacturers push for fully built vehicles. IFC leads $222 mn debt funding round in Cholamandalam | Mint. 
30-5-2019,"Exclusive: Crash norms to wipe out mini vans from India; Tata Motors, Mahindra to be hit. Tata Buzzard (7-seater Tata Harrier) spotted testing again in India. Ratan Tata - 10 Interesting facts about Ratan Tata that you should know. "
31-5-2019,"India Commercial Papers deals on F-TRAC-Mar 8. Sensex Slumps Nearly 750 Points From Days High, Nifty Below 12,000. Reliance Group has serviced debt of over Rs 35,000 crore in 14 months, says Anil Ambani. "
1-6-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Harrier public previews start from December 18. Tata Harrier to be launched on 23 January. 
2-6-2019,"Tata Motors Reveals Its Lineup For The Bharat Mobility Global Expo 2024. Tata Nexon Facelift Safety Score Improved, Gets A Full 5 Star Rating Once Again!. We Now Know When Tata Is Planning To Take The Wraps Off The 2023 Nexon. "
3-6-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Tata Motors partners with Wise Travel India. Tata Buzzard SUV unveiled at Geneva motor show 2019. 
6-6-2019,"Toyota Glanza To Be Launched On June 6, 2019. MG Motors to manufacture electric vehicle EZS in India | Mint. Toyota-Suzuki alliance drives past the failure of others. "
7-6-2019,Mercedes-AMG A 35 Breaks Cover At Paris Motor Show 2018. Amazon Prime Day 2019 kicks off on 15 July: Here's what to expect | Mint. Tata Motors' Sanand plant bags CII Green Building Council award for second straight year. 
8-6-2019,"Ram Mandir inauguration: A look at 500-year timeline, from Babri Masjid to Lalla Virajman | Mint. Tata Tigor EV receives a price cut of Rs 80000 post revised GST rates. Resentment brewing among transporters over Motor Vehicle Amendment. "
10-6-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Scrappage policy may fuel demand for used trucks | Mint. Toyota Recalls Around 6,500 Units Of The Glanza. Is Your Car Affected?. "
11-6-2019,"Mega deals dried up at Wipro before team lead’s departure | Mint. Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Maruti Suzuki, Toyota Tsusho announces joint venture for vehicle dismantling, recycling unit. "
12-6-2019,"Tata Altroz to be offered in 10 variants, five colours and two engine options. Bajaj Auto introduces Husqvarna brand of premium bikes | Mint. Shares, Commodity, Rupee Market Highlights: Sensex cracks 334 points, Nifty ends at 11,922 weighed by banks. "
13-6-2019,"TCS, Infosys or HDFC Bank: Which company has the best history of rewarding its shareholders?. Tata hikes Harrier's price by INR 31,000. Uniraj result 2019: Rajasthan University releases undergraduate results at uniraj.ac.in. "
14-6-2019,"CapitaLand India Trust acquires IT-SEZ project in Pune for Rs 773 crore. BT Insight: Tata MF resorts to side-pocketing; what should investors do?. Tatas await decision on plea to ban Deloitte, BSR. "
15-6-2019,"MASSA gets Tata Teleservices nod for seafarers to operate VSNL email untill June 15. The Tata Punch (aka Hornbill) Compact SUV - Page 5. Tata Nexon, Safari, Hexa, Zest, Bolt - Prices increased by Rs 10,000. "
17-6-2019,"Tata Tigor 2017-2020 Price, Images, Mileage, Reviews, Specs. Tata Motors launches AMT variants of compact sedan Tigor. Tata Tigor AMT launched in XMA and XZA+ trims. "
18-6-2019,"Tata Group's Debt Threat. Tata Tigor price hiked in India. Six Uttarakhand districts likely to receive heavy rain on June 18, 19: IMD. "
21-6-2019,Kia Seltos pre-booking to begin in July 2019; India launch by August-end. Ranking of Indian car makers on the Corporate Average Fuel Efficiency table. Form 6-K TATA MOTORS LTD/FI For: Jun 28. 
22-6-2019,"CBSE releases CTET 2019 admit card; check exam date, schedule on ctet.nic.in. Exclusive | Tata Power eyeing InvIT route for monetising renewable energy assets. 'Halwa' ceremony marks Printing of Budget 2019-20 documents | Mint. "
26-6-2019,"Nifty 50 Historical Rates (March 2024). Indian Hotels rallies 6% on heavy volumes, hits 20-month high. Tata Tigor EV priced at Rs. 9.99 lakh. "
28-6-2019,Car makers in India may have more bad news to share on Monday. Form 6-K TATA MOTORS LTD/FI For: Jun 28. Tata Motors needs to transform itself to be relevant in future mobility: N Chandrasekaran. 
29-6-2019,Ashok Leyland share price falls over 6% after firm announces non-working days in October. AD's Exclusive design and lifestyle features : 29th June 2019. Want to invest in NPS? Here's the correct way | Mint. 
30-6-2019,"Share Market HIGHLIGHTS: Sensex, Nifty hit record closing highs; 30-scrip index rises 320 pts, Nifty. Jet Airways founder Naresh Goyal writes to court to seek medical help, claims prison officer not looking into his concerns. Tata Motors loss widens. "
2-7-2019,"Tata Motors posts ₹27,000 crore loss in Q3. City lawyer files case against Tata Motors for poor support. Tata Motors shares fall by most in 26 years after JLR loss. "
3-7-2019,Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Global NCAP's First Five Star Car In India: The Tata Nexon — Global NCAP. Tata Motors to have 4 new cars making global debut at 2019 Geneva - Official. 
4-7-2019,Rock Solid. Maruti to lease showrooms to dealers. 2019 Women’s Rally to the Valley sees over 600 participants. 
7-7-2019,Jammu and Kashmir Bank appoints Rajni Saraf new CFO. Jsa Premier Division - Season Review - Jamshedpur Football Club. Tatas could soon start third cancer hospital in Thane. 
8-7-2019,"Tata Motors announces block closure at Pune. RBI wants your home, car loans to get cheaper, but your bank is a hurdle. Tata Steel drops plan to sell S-E Asian assets | Mint. "
9-7-2019,SUVs drive passenger vehicle sales to over 40 lakh units in 2023. Chandrayaan-3 Highlights: Chandrayaan-3 inches closer to moon after successful orbit reduction manoeuvre | Mint. Chandrayaan-3 highlights: Lander Vikram will be 30 km away from Moon today. 
10-7-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Aurobindo Pharma share crashes 20% to hit 52-week low on USFDA observations; Lupin, Glenmark fall up to 9%. Bank holidays in October. Check full list | Mint. "
11-7-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Tata Hexa, Harrier and Nexon available with discounts up to Rs 1.10 lakh. Mercedes-Benz launches ₹1.10 crore luxury MPV in India | Mint. "
12-7-2019,TCS 1st Tata Group firm to offer health insurance benefits to LGBT employees. Make 'bumper-to-bumper' insurance mandatory on new vehicles from next month: High Court | Mint. Top-three India-made cars with five-star Global NCAP rating. 
13-7-2019,"Tata Harrier test mule, upcoming 7-seater spotted; could they be automatic variants?. Bihar Flood 2019 Pics: Flood water inundates Araria. Rising hate-crimes, intolerance to seriously damage growth, warns Adi Godrej. "
14-7-2019,Ford SWOT 2024 | SWOT Analysis of Ford. Big Battle Over Small SUVs. Tata Motors announces its nationwide free monsoon check-up camps. 
15-7-2019,Satish Borwankar bows out of Tata Motors board after completion of tenure. Tata Motors shares vroom 6% in just 1 day on D-Street - here is what you must know. Tata to supply 200 Hexa 4x4s to Bangladesh Army. 
18-7-2019,Jamshedpur Fc Reserves Gear Up For Jsa Super Cup 2019 - Jamshedpur Football Club. Bill Gates no longer 2nd richest person in world; Jeff Bezos remains on top. Government clears NMC Bill to revamp medical education system | Mint. 
19-7-2019,"Tata Nexon crosses 5 lakh unit production milestone; facelift expected by August. Tata Nexon zooms past 100,000 unit sales in 23 months. Tata Nexon crosses one lakh unit production milestone. "
20-7-2019,Jamshedpur Fc Reserves Gear Up For Jsa Super Cup 2019 - Jamshedpur Football Club. Tata Motors confirms Hexa will get BS-VI upgrade - Report. India’s unicorn tribe grows faster than ever this year | Mint. 
21-7-2019,Tata Motors MD draws twice the salary of Mahindra and Mahindra MD in FY19. Tata Motors MD draws more than two-times the salary of Mahindra & Mahindra MD in FY19. GreenFuel Energy Solutions receives supplier award by Tata Motors. 
22-7-2019,"TCS, Infosys or HDFC Bank: Which company has the best history of rewarding its shareholders?. GreenFuel Energy Solutions receives supplier award by Tata Motors. Jamshedpur Fc Reserves Gear Up For Jsa Super Cup 2019 - Jamshedpur Football Club. "
23-7-2019,"Tata H2X officially confirmed for launch, arriving after Tata Buzzard. Suzuki’s Gujarat plant to drive out fewer cars | Mint. Honda to use hybrid tech to power small cars in India till EV infra is in place. "
24-7-2019,Production Tata H2X (Hornbill) India launch confirmed post Altroz and Buzzard. Slowdown in auto sales: 10-15% people lost jobs in auto component industry | Mint. Jamshedpur Fc Reserves Gear Up For Jsa Super Cup 2019 - Jamshedpur Football Club. 
25-7-2019,"Motoring World CV Guide 2019: Tata Motors. Tata continues testing the Altroz ahead of its official unveil. Tata Motors reports Q1 loss of Rs 3,680 crore; JLR woes persist. "
26-7-2019,"Finance Minisiter Sets Voluntary Vehicle Scrapping Policy To Phase Out Old Cars. ISRO Good News!: Chandrayaan-2 second orbit raising task successfully performed. Bajaj Auto Q1 net profit declines nearly 3% to Rs 1,012 cr. "
27-7-2019,Tata Motors unveils seven new buses: All details. Tata Motors showcases futuristic public transportation solutions in India. BMW 7 Series launched: Why should you buy?. 
29-7-2019,"Cafe Coffee Day parent's bankruptcy: What's brewing at Cafe Coffee Global? All about coffee day enterprises' troubles | Mint. 5 worlds most expensive stocks, top one priced at over Rs 2.16 crore, Amazon also in list. Patriarch of the Tata group. "
31-7-2019,"Auto stocks hit hard in 2019, down in double digits; what should you do?. All-Black Tata Harrier leaked ahead of launch next month. The all-black Tata Harrier. "
1-8-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. Maruti Suzuki Recalls Over 1 Lakh Units Of WagonR And Baleno. Why Rubique is in angel investor Akshay Mittal’s anti-portfolio | Mint. "
3-8-2019,"Car dealer to pay 50,000 for deficient service. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. Sensex rises to near 6-month high, Bharti Airtel jumps 8%; midcaps surge | Mint. "
6-8-2019,"Tata Nexon sales in India top 500,000 units. Toyota Glanza sells over 100,000 units since launch. Ford Brings Back 'Midnight Surprise' Sales Campaign; Offers Gifts Worth Rs. 5 Crore. "
8-8-2019,"Kia rolls out millionth made-in-India car 47 months after market entry. Tata Motors halts production at Pune and Jamshedpur units, JLR follows | Mint. Sundram Fasteners is now not just an auto parts firm, but a diverse engineering co: Suresh Krishna. "
9-8-2019,Most expensive cars in the world: Rolls Royce Boat Tail to Bugatti Centodieci. Small Steps To A Big Gain. Eight croreth beneficiary of Ujjwala scheme plans biryani on new connection! | Mint. 
10-8-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). No Tata Nano production in first 9 months of 2019, just 1 unit sold. Tata Motors offering discounts of up to Rs 1 lakh on Zest, Nexon and Harrier. "
11-8-2019,"Tata Steel partners with Tata Motors to introduce Tigor EVs for employee transportation in Jamshedpur. Got sold a Tata Harrier damaged in transit; repainted shoddily. EDIT: Resolved (page 3). Tata Steel reinforces its commitment to sustainability, introduces Electric Vehicles. "
14-8-2019,Tata Tiago JTP and Tigor JTP launched: Top five updates. Top 10 Arbitration Judgments [January To September 2023]. A short history of Indian economy 1947-2019: Tryst with destiny & other stories | Mint. 
15-8-2019,"Jal Jeevan Mission provides safe drinking water to over 12 crore rural households: govt | Mint. New Venue powers Hyundai's market share gain, MG Motor India opens account, M&M close to being UV market share king. Independence Day: PM Modi announces Jal Jeevan Mission scheme for households; to cost Rs 3.5-lakh crore. "
17-8-2019,"2019 Tata Tiago JTP and Tigor JTP - now in pictures. ‘Before talking about self-driving cars, India should make ADAS mandatory in all cars’. From insurance to retirement - How government schemes can help | Mint. "
18-8-2019,Tata Motors to resume operations from today. Tata Tigor-Tiago JTP - Top 4 interior highlights. Ranking of Indian car makers on the Corporate Average Fuel Efficiency table. 
19-8-2019,"Man who lost 3 toes while boarding BEST bus awarded Rs 5.5 lakh. Vodafone Idea elevates Akshaya Moondra as CEO from August 19. Scarlett comes home | My Jeep Compass Limited (O) 4x4 | EDIT: 1,33500 kms up!. "
20-8-2019,"Auto sector slowdown: Tata Motors, Maruti Suzuki, Mahindra stocks fall up to 55% in one year. Downturn Blues: Carmakers line up six new launches in next 15 days. All-black Tata Harrier to be launched in August 2019. "
21-8-2019,Tata Motors share price hitting 10-year low today has this Chinese connection behind it. The most valuable bits of the Tata Group empire. Dhunseri completes tea biz sale to TGBL. 
22-8-2019,"Live stock market updates - August 22, 2019. Worldwide Automotive Warranty Expenses, 22 August 2019. Tata Sons launch new digital vertical, names Pratik Pal as CEO | Mint. "
23-8-2019,8.85% Tata Capital Financial Services NCD Aug 2019 Review. Page Industries share turned Rs 1 lakh into Rs 28 lakh in 10 years. Where is Narendra 'Singur-to-Sanand' Modi?. 
24-8-2019,PM Modi urges Indian business class in UAE to invest in Jammu and Kashmir. Modi adds to his global knighthood collection with UAE’s Zayed medal | Mint. Porsche Taycan interiors revealed. 
25-8-2019,"Revfin Green Lending. These are the best companies to work for in India in 2019, according to LinkedIn. NASA dangles $7 billion carrot for next moon landing | Mint. "
26-8-2019,"Sensex, Nifty Close At Two-Week High. Slowdown Affects Production of Tata Motors in Lucknow, Workers Suffer. Tata introduces sunroof as official accessory for the Harrier. "
27-8-2019,"Sensex, Nifty Close At Two-Week High. This jewellery firm stock turned Rs 1 lakh into Rs 4,600 in 1.5 years, hit all-time low today. New car launches in India in September. "
29-8-2019,"Tata Motors’ staffer bags Medallion of Excellence at World Skills 2019. Gold prices increased from Rs 30,000 to Rs 40,000 in 12 months. Tata Projects executes 41.42-km transmission line in Thailand. "
30-8-2019,All-Black Tata Harrier Dark Edition Launched At Rs 16.76 Lakh. Top 10 Arbitration Judgments [January To September 2023]. Tata Harrier Dark Edition launched in India at Rs 16.76 lakhs. 
31-8-2019,"Tata Motors rolls out 200,000th Nexon in 46 months since launch. Tata Nexon EV spied testing. If you are wondering which stocks to buy, top fund house offers cues. "
1-9-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers. Tata H5X Concept @ Auto Expo 2018. Named Tata Harrier! EDIT: Launched @ Rs. 12.69 lakhs. 2019 Mahindra XUV300 Breaches The 13,000 Bookings Milestone. "
2-9-2019,PM Modi inaugurates Sela Tunnel: All you need to know about world's longest twin-lane passageway near China border | Mint. Tata Trust's managing trustee R Venkataramanan rumoured to have offered to quit. Reverse Charge: Buying from Unregistered Dealers - GST. 
4-9-2019,Usha Martin all set to conclude steel unit sale to Tata Steel subsidiary. Tata Sponge finishes acquisition of Usha Martin Ltd's steel business | Mint. NIRF 2019 ranking: IIT Madras tops in overall category; 6 DU colleges in top 10 colleges list. 
5-9-2019,Chery discussing JV with Tata Motors for India entry - Report. Top 5 SUVs sold in India in April 2019. Congress' NYAY will prove to be a game changer: Priyanka Gandhi | Mint. 
6-9-2019,"BCCI issues fitness updates on pacer Jasprit Bumrah, hints return of Shreyas Iyer, KL Rahul and Rishabh Pant | Mint. Jasprit Bumrah seen bowling full-throttle in nets, is it return of India's most celebrated pacer? | Mint. Shalimar Paints poised for turnaround in FY20. "
7-9-2019,Delhi Weather Update: Rain in Delhi-NCR brings relief from scorching heat. Tata Harrier prices hiked. [Funding alert] Former Tata Motors' President Gajendra Chandel invests in electric scooter startup BattRE. 
8-9-2019,"Bayer investor Artisan urges company split amid growing calls for reform: Report | Mint. Tata Motors, Mahindra and Mahindra set to slash production. Top automakers plan production cuts in response to slow demand. "
9-9-2019,"2019 Tata Nexon Kraz launched, priced from INR 7.57 lakh. Market Highlights: Sensex recovers from 11-month low, Nifty settles above 10,800 | Mint. August 2019 : Indian Car Sales Figures & Analysis. "
