Date,Titles
27-07-2019,Tata Motors unveils seven new buses: All details |  Tata Motors showcases futuristic public transportation solutions in India
29-07-2019, Patriarch of the Tata group
31-07-2019, All-Black Tata Harrier leaked ahead of launch next month |  The all-black Tata Harrier
01-08-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers"
03-08-2019, Tata H5X Concept @ Auto Expo 2018 |  Named Tata Harrier! EDIT: Launched @ Rs
06-08-2019,"Tata Nexon sales in India top 500,000 units"
08-08-2019," Tata Motors halts production at Pune and Jamshedpur units, JLR follows "
10-08-2019,"Got sold a Tata Harrier damaged in transit; repainted shoddily |  No Tata Nano production in first 9 months of 2019, just 1 unit sold |  Tata Motors offering discounts of up to Rs 1 lakh on Zest, Nexon and Harrier"
11-08-2019, Got sold a Tata Harrier damaged in transit; repainted shoddily
14-08-2019,Tata Tiago JTP and Tigor JTP launched: Top five updates
17-08-2019,2019 Tata Tiago JTP and Tigor JTP - now in pictures
18-08-2019,Tata Motors to resume operations from today |  Tata Tigor-Tiago JTP - Top 4 interior highlights
20-08-2019,"Auto sector slowdown: Tata Motors, Maruti Suzuki, Mahindra stocks fall up to 55% in one year |  All-black Tata Harrier to be launched in August 2019"
21-08-2019,Tata Motors share price hitting 10-year low today has this Chinese connection behind it |  The most valuable bits of the Tata Group empire
22-08-2019," Tata Sons launch new digital vertical, names Pratik Pal as CEO "
26-08-2019," Slowdown Affects Production of Tata Motors in Lucknow, Workers Suffer |  Tata introduces sunroof as official accessory for the Harrier"
29-08-2019,Tata Motors’ staffer bags Medallion of Excellence at World Skills 2019 |  Tata Projects executes 41
30-08-2019,All-Black Tata Harrier Dark Edition Launched At Rs 16 |  Tata Harrier Dark Edition launched in India at Rs 16
31-08-2019,"Tata Motors rolls out 200,000th Nexon in 46 months since launch |  Tata Nexon EV spied testing"
01-09-2019,"Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers |  Tata H5X Concept @ Auto Expo 2018 |  Named Tata Harrier! EDIT: Launched @ Rs"
05-09-2019,Chery discussing JV with Tata Motors for India entry - Report
07-09-2019, Tata Harrier prices hiked |  [Funding alert] Former Tata Motors' President Gajendra Chandel invests in electric scooter startup BattRE
08-09-2019," Tata Motors, Mahindra and Mahindra set to slash production"
09-09-2019,"2019 Tata Nexon Kraz launched, priced from INR 7"
10-09-2019,"Just 1 Tata Nano unit sold in 2019, no production in first 9 months"
11-09-2019, 2020 Tata Nexon (facelift) spied on test once again
12-09-2019,Tata Altroz To Be Offered With Customisation Packages From The Factory |  Tata Motors' Jaguar Land Rover retail sales fall 3% in November
13-09-2019," Tata Group has 28 firms, and these 4 companies rallied over 900%; key things to know |  New Tata Altroz interiors leaked"
14-09-2019,"Tata Harrier Now Gets Optional 5-Year, Unlimited Kilometre Warranty"
15-09-2019,Tata Motors offering benefits of up to Rs 1 |  Tata Motors announces discounts up to ₹1
16-09-2019,"Tata Sumo Put Out To Pasture After 25 Years Of Service, No Longer Available At Dealerships"
17-09-2019,Tata Motors partners with what3words - 3 word address for navigation |  Tata Motors to introduce what3words addressing system in its future products |  Tata Motors first OEM in India to bring three-word addressing system in its cars
18-09-2019,Indian Car Manufacturer Tata Motors Calls for Automotive Blockchain Tech
19-09-2019,"Tata Motors introduces ZIPTRON electric vehicle technology |  Tata Motors revs up for EV space, launches new powertrain"
20-09-2019," Tata Motors launches Pro Edition packages, prices start at Rs 29999"
21-09-2019,Tata Motors revs up for festive season with new launches and 5-car Pro package |  ZipTron: Tata Motors' new EV technology brand
23-09-2019,"Maruti Suzuki, Hyundai, Honda, Tata Motors: Big festive discounts on offer as carmakers hope to revive sales |  Tata Motors launches Pro Edition accessories for Harrier, Nexon, other models at Rs 29,999 |  KTM 790 Duke, Maruti Suzuki S-Presso, Tata Motors"
25-09-2019,Here are the brochures of Tata Motors Pro Editions |  Tata Motors shines in Forbes’ World’s Best Regarded Companies 2019
27-09-2019,"Tata Motors share price falls over 5% amid reports JLR to shut UK plants for a week |  Tata Motors dealer offers free Honda scooter with Nexon, Tiago!"
28-09-2019,Tata Harrier with panoramic sunroof and new alloy wheels spied |  Naina and Pooja win gold as Haryana wrestlers continue to dominate 2nd Tata Motors U-23 National Wrestling 
29-09-2019,Tata’s Jaguar Land Rover Bets Big On India’s Electric Vehicle Future: Set To Launch Host Of EVs Starting 2020
30-09-2019,"TCS dividend history: A look at Tata group IT giants payouts in past five years |  Tata Sons to infuse Rs 6,500 crore in Tata Motors to boost investor confidence |  Tata Tiago 2019-2020 Wizz Edition Petrol On Road Price, Features & Specs, Images"
03-10-2019,Tata H5X Concept @ Auto Expo 2018 |  Named Tata Harrier! EDIT: Launched @ Rs |  Tata Altroz EV Geneva Edition - Official images revealed |  Tata Motors bans use of phones at its Steel City plant
08-10-2019,"Demand slowdown: Now, M&M and Tata Motors to rejig production"
11-10-2019,Tata Motors delivers Tigor EVs at Tata Steel plant in Jamshedpur
13-10-2019,Tata Tigor EV Extended Range: Variant breakdown |  Tata Motors Design Studio: A sneak peek at how they do it
18-10-2019,Why Tata Motors share price has gained over 10% in last two sessions |  Why Ratan Tata chose to invest in EV startup Tork Motors
19-10-2019, Reliance Jio reports net profit of Rs 990 crore; Why Ratan Tata is investing in this EV startup
22-10-2019, Tata launches priority test drives for Harrier
25-10-2019,"Tata Motors board approves plan to raise Rs 500 crore through NCD issue |  Tata Motors to raise Rs 500 cr through issue of non-convertible debentures |  Tata Motors board approves ordinary shares, warrants to Tata Sons "
26-10-2019,"Tata Sons to infuse Rs 6,500 crore in Tata Motors to boost investor confidence |  This week in Auto: Datsun joins India quitters list; Tata Sons to bail out Tata Motors"
27-10-2019,Muhurat Trading: Sensex gains 192 points; Tata Motors jumps over 17%
29-10-2019," Closing Bell: Nifty settles at 11,787, Sensex jumps 582 pts; Tata Motors, Tata Steel top gainers"
30-10-2019, Tata Harrier BS-VI variant spied with dual-tone alloy wheels |  Why does the Tata Nexon's floorboard have a member only on the driver's side?
01-11-2019,Tata H5X Concept @ Auto Expo 2018 |  Named Tata Harrier! EDIT: Launched @ Rs |  Tata Tiago NRG - Top 5 exterior highlights
03-11-2019,"Tata Harrier and Buzzard 7-Seater SUV To Get 4x4 Variants |  Tata Motors bags Gujarat State Roadways' order for 1,045 buses"
04-11-2019,Tata Motors' announces outreach and service campaign for CV customers |  Tata Tigor facelift spied with IMPACT 2
13-11-2019,Tata Motors inaugurates Advance Power Systems Engineering Tech Center in Pune |  Tata Motors opens new R&D unit at its Pune research center 
15-11-2019,Tata Altroz spied yet again ahead of early-2020 launch |  Tata Nexon EV charging specifications revealed
17-11-2019,"Tata Nexon EV braves torture track, gradability and water wading test in this teaser video!"
18-11-2019,Tata Motors and Lithium Urban Technologies long-term partnership set to leapfrog the electrification of the transport  |  Rajiv Bajaj hits back at Tata Motors design head over criticism on Chetak styling |  Tata Motors partners with Lithium Urban Technology to supply 500 EVs
19-11-2019,Tata Motors to commence the 4th edition of its Global Service Camp |  Tata Motors ties up with Lithium Urban Technologies to supply 500 EVs
22-11-2019, Tata Motors makes a 'paradigm shift' for its dealers to beat slowdown
27-11-2019,Tata Motors rolls out the 1st ALTROZ from its Pune plant |  Tata Motors names its upcoming Harrier-based 7-seater SUV as Tata Gravitas |  Five things you need to know about the Tata Altroz
28-11-2019,"Tata Motors plans to offer VRS to 1,600 employees amid slowdown in auto industry"
29-11-2019, Scoop! Tata Safari Storme production stopped - Page 5
30-11-2019,Tata Motors announces new campaign for its SCV range |  Tata Motors rolls out nation-wide Mega Service Camp for its customers |  Tata Motors announces 'India Ki Doosri Diwali' campaign
01-12-2019, Tata H5X Concept @ Auto Expo 2018 |  Named Tata Harrier! EDIT: Launched @ Rs
02-12-2019," Now, Lucknow residents can avail facility of electric buses; thanks to Tata Motors and Yogi government |  Not just Tata Motors, a lot of other companies are excited by Jaguar Land Rover numbers"
04-12-2019, TCS dividend history: A look at Tata group IT giants payouts in past five years
06-12-2019,Tata Harrier prices increased in India |  Lowe Lintas to drive creative mandate for Tata Motors' new premium hatchback ‘Altroz’ |  Tata Tiago XT variant discontinued
07-12-2019,"Tata Motors bets on rural markets to drive growth |  Tata Group to set up Rs 4,000 crore lithium-ion battery plant |  Tata Group will build a lithium-ion battery manufacturing facility in Gujarat"
09-12-2019,"Tata Harrier Now Gets Optional 5-Year, Unlimited Kilometre Warranty |  Tata Motors falls 4% after global sales slump but Kotak retains buy — here's why |  Tata Harrier, Nexon and Tiago available with discounts of up to Rs 1"
12-12-2019, Tata Gravitas with orange body wrap snapped on test
15-12-2019," We went to Ratan Tata for guidance: Aditi Bhosale Walunj and Chetan Walunj, co-founders, Repos Energy"
16-12-2019,"Tata Nexon EV likely to be unveiled on December 16, 2019"
17-12-2019," Tata Motors in alliance talks with Chinese firms  |  Tata Nexon EV world premiere on December 17, 2019"
18-12-2019, Tata Motors to leverage Croma outlets for Nexon EV |  Tata group stocks tumble after NCLAT restores Cyrus Mistry as exec chairman
19-12-2019,"Tata Nexon EV Official Unveiling Date Announced |  Tata Nexon EV reveal pushed to December 19, 2019 |  Tata Motors unveils electric Nexon SUV, launch in Jan 2020 "
22-12-2019, Tata unveils India's first electric SUV
23-12-2019, Tata Altroz Sedan (Tata X452) - IAB Rendering
24-12-2019,Tata Tigor 2017-2020 1 |  New spy shot reveals 2020 Tata Tigor (facelift)’s front-end prematurely
27-12-2019,Tata Motors signs an MoU with Prakriti E-Mobility Private Limited to deploy Tigor EVs in New Delhi |  Scoop! Tata Safari Storme production stopped - Page 5
28-12-2019,Scoop! Tata Safari Storme production stopped - Page 5 |  Ratan Tata shares picture flying F18 Super Hornet on 82nd birthday; has a special message for youth |  500 Tata Tigor EV's to be deployed in New Delhi
29-12-2019,Scoop! Tata Safari Storme production stopped - Page 5
01-01-2020," Tata Altroz, Safari Designer, Pratap Bose, Nominated For 2021 World Car Person Of The Year Award"
03-01-2020,Tata Motors admits impact of Coronavirus on India operations 
04-01-2020,"Tata Motors to bid adieu to Nano from April 2020 |  Tata Motors decides to subsidiarize its passenger vehicles arm, separating it from the CV business |  Tata Motors may drop small diesel cars from its portfolio"
05-01-2020, Tata's lessons for the post-Covid world
07-01-2020, Tata Motors overtake Mahindra & Kia to become third largest carmaker in June
08-01-2020, ‘PV business to get cash positive by FY23’: Tata Motors to retain control |  Tata Motors sees its India loss widen by nearly 22 times as sales fall to one for every five units a year earl
09-01-2020, DIY - Illuminated power window switches in the Nexon & other Tata cars
10-01-2020,"Tata Motors introduces XT+ variant of Harrier at Rs 16 |  Tata Harrier XT+ launched, price starts at Rs 16 |  Tata Harrier Now Available In New XT+ Variant; Priced At Rs"
11-01-2020,"Can Tata Motors Win in India? |  Tata Motors launches ‘Grahak Samvaad 2020’ to enhance customer experience |  Diwali 2020: BS6 Tata Harrier, Nexon, Tiago & Tigor Get Discounts Of Up To Rs"
12-01-2020, Tata Motors reveal December year-end offers
13-01-2020,"Tata Gravitas to be bigger, better than Safari! SUV will make debut at Auto Expo 2020 |  Tata Nexon facelift details and specifications leaked ahead of launch |  Tata Motors reveals BS6 Tata Tiago, Tigor and Nexon facelift; bookings open"
15-01-2020," Tata Motors climbs 4%, hits 52-week high on improved earnings outlook |  Tata Harrier, Hexa, Nexon, Tiago - Jan 2020 discounts up to Rs 1 lakh"
16-01-2020,"Tata Altroz vs Baleno, Elite i20 & Jazz: How do the premium hatchbacks stack up? |  GMR Infra to now sell 49% in airports company to Tata group subsidiary "
17-01-2020,"Tata Nexon EV ZConnect app to offer 35 connected car features |  Tata Nexon EV sales cross 4,000 units in 14 months"
18-01-2020, Tata Nexon facelift with sunroof spotted during TVC shoot; launch likely soon
19-01-2020," Tata Harrier turns one, anniversary campaign announced across India"
21-01-2020,"Tata Nexon EV Prime 2020-2023 Price, Images, Mileage, Reviews, Specs |  Tata Nexon EV to launch in India on 28 January |  Tata Nexon EV test driver pushes the pedal to the metal"
22-01-2020,"Tata Altroz sells over 240,000 units since launch four years ago |  Tata Altroz launched in 2020, nears 2 |  Tata Altroz sells over 200,000 units in 41 months since launch"
24-01-2020,Tata AutoComp Systems forms joint venture with Prestolite Electric Beijing |  Guenter Butschek: Tata Harrier automatic with sunroof coming to Auto Expo 2020 [Video]
25-01-2020,"Nexon EV turns four, helps Tata Motors maintain EV market leadership |  Tata Nexon 2020-2023 XMA S AMT Diesel BSVI On Road Price, Features & Specs, Images"
27-01-2020,Tata Hornbill likely to be launched at Auto Expo 2020 |  Tata Nexon EV: What to expect?
28-01-2020,"Nexon EV turns four, helps Tata Motors maintain EV market leadership |  Tata Altroz EV to be launched in 2025 |  Tata Sons hikes stake in group companies"
29-01-2020,How Tata Group entities came together to power up the EV ecosystem |  Narayana Murthy touches Ratan Tata's feet; Twitterati laud 'humble' Infosys co-founder |  Narayana Murthy touches Ratan Tata’s feet in a ‘touching gesture of humility’ 
01-02-2020,"Tata Motors domestic sales fall by 12% in December 2019 |  Mistry order inconsistent, untenable: Tata plea in SC "
03-02-2020,My Orange Tata Nexon & My relationship of 15+ years with Tata Motors
06-02-2020,Tata Motors resumes operations across all manufacturing plants
07-02-2020,My 2020 Flame Red Tata Tiago XZA+ Automatic Review 
08-02-2020,Coronavirus Pandemic: Tata Marcopolo Plant In Karnataka To Remain Shut For 8 Days |  Tata Motors’ weak sales outlook may keep profitability on the bumpy lane 
09-02-2020,Tata Motors launches new Nexon variant; price starts at Rs 8 |  Tata Motors introduces XM(S) variant of Nexon at Rs 8 |  Tata Nexon XM (S) variant launched in India at Rs 8
11-02-2020,"My Orange Tata Nexon & My relationship of 15+ years with Tata Motors |  Auto Expo 2020: 11 electric cars from Maruti, Tata, Mercedes-Benz, Mahindra and other showcased"
12-02-2020,"Nexon EV turns four, helps Tata Motors maintain EV market leadership |  Tata Motors passenger vehicles sales grow by 108 percent in November 2020"
13-02-2020,Tata Harrier automatic at Auto Expo 2020: Now in pictures |  Tata Motors to supply Tigor EV to UGVCL
19-02-2020,"Ratan Tata on why his first stint at Tata Motors was ‘total waste of time’, and accusations against"
20-02-2020,"'Total waste of time': Ratan Tata recollects internship at Tata Motors |  Tata Motors Confims ETAuto News Break: Mayank Pareek to end his tenure as President PV unit in Feb 2021, Sha |  Tata Harrier BS6 AT and sunroof unveiled, in showrooms Feb 20: Auto Expo 2020 Unveil"
21-02-2020,"Tata Hexa 2016-2020 XT On Road Price (Diesel), Features & Specs, Images"
23-02-2020, Suzuki Jimny And Tata Sierra Make A Comeback At Auto Expo 2020: Are The 90s Here Again?
24-02-2020, Tata Motors to raise Rs 500 cr through issue of non-convertible debentures
25-02-2020, Exclusive: Tata Altroz 1
27-02-2020,"Tata Altroz 1 |  Tata Motors, two group finance firms accused of antitrust violations in India : Report "
29-02-2020,Tata Motors to exit its car retail business Concorde Motors 
02-03-2020,Tata Motors commences bookings for BSVI versions of Harrier  |  Avid biker buys his first car: 1-year ownership of Tata Tiago
04-03-2020, Tata Altroz witnesses 1147 unit sales in India in March 2020 |  Tata Motors may have shut down performance car venture with Jayem Auto
06-03-2020, T1 Prima Race Truck From Tata Motors: Picture Gallery
08-03-2020, Coronavirus Pandemic: Tata Marcopolo Plant In Karnataka To Remain Shut For 8 Days
09-03-2020," EESL buys 250 electric cars from Tata Motors, Hyundai for government use"
11-03-2020,"Stocks to track in trade for November 03, 2020: L&T, Tata Motors, NTPC, Zee Entertainment, PNB |  Tata Harrier Camo edition arrives at dealer yard; launch likely soon |  Auto Expo 2020: 11 electric cars from Maruti, Tata, Mercedes-Benz, Mahindra and other showcased"
13-03-2020,"Tata Motors, CG Power, HUL, Bajaj Auto: Stocks to watch on Tuesday |  Tata Motors developing a 3-cylinder turbo petrol engine"
14-03-2020,Tata Motors begins work on Altroz-based sedan
15-03-2020,Covid-19: Tata Motors extends service warranty period to July 31 |  Tata Motors announces extended warranty due to Coronavirus pandemic
16-03-2020, 2020 Tata Harrier review: Upgraded with a dash of comfort |  A resurgent Tata Motors advances Ratan Tata's legacy
17-03-2020,Coronavirus impact: Tata Sons revisits strategy as COVID-19 wrecks overseas markets
18-03-2020,Tata Motors begins work on Altroz-based sedan |  BS6 Tata Harrier driven - Now in pictures
19-03-2020, Investing in Automakers: Jaguar Land Rover vs Tata Motors
20-03-2020, Tata Motors to shut Pune plant amid heightened coronavirus risk 
21-03-2020,"Tata Motors share price hits double digits after 11 years, here's why"
24-03-2020,"Tata Motors shares hit record high, rebound 981% from Covid low; what’s next? |  Tata Motors Shares Surge Over 400% In 3 years, Analysts Predict Growth Momentum To Continue |  Tata Motors shares surged 800% from pandemic low; more upside likely?"
26-03-2020,Tata Altroz EV - Now in pictures
27-03-2020, Tata Motors to set up new subsidiary for passenger vehicles  |  Tata Motors announces extended warranty due to Coronavirus pandemic
28-03-2020,"Coronavirus crisis: DRDO working with Tata, Mahindra on 'multi-patient ventilators' |  Tata Motors to form separate subsidiary for passenger vehicles and EVs |  Tata Group commits ₹1,500 crore to fight Covid-19 "
30-03-2020,Coronavirus impact: Vistara or AirAsia India? Tata Group must pick one as losses mount
31-03-2020,"Buy Tata Motors, target price Rs 210: ICICI Direct |  Tata Motors reports massive Rs 9,864 crore net loss for March quarter as coronavirus hit sales"
02-04-2020,How Tata has upgraded the Harrier |  Tata Sons auditors raise red flag over AirAsia continuing as a going concern
03-04-2020," JTP Discontinued, Tata & Jayem Auto Parting Ways"
04-04-2020,"Tata Harrier 2019-2023 Price, Images, Mileage, Reviews, Specs |  D'Souza set to take over as MD&CEO of Tata Global Beverages "
09-04-2020,Tata Motors introduces XT+ variant of Harrier at Rs 16
11-04-2020, Oil leakage in a new Tata Altroz |  Tata Motors conducts engineering coaching for underprivileged students
12-04-2020,Which Is Tata Group's Most Expensive Stock? All You Need To Know About Tata Elxsi Share Price |  Tata Motors reveal December year-end offers
14-04-2020," Corona Virus Lockdown: Book Tata Motors cars online, get home delivery"
23-04-2020, Tata Motors' Maruti Dzire and Honda Amaze rival under works
01-05-2020,"Tata Harrier turns one, anniversary campaign announced across India |  Cyrus Mistry shuns top posts at Tata companies, seeks board seat  |  15,000+ Tata Harrier units sold in roughly one year"
02-05-2020,"Tata Motors flexes EV muscle, launches Harrier at ₹13 |  Tata Motors showcases HBX, Sierra EV Concept, Gravitas and Harrier 2020 at Auto Expo 2020 |  Tata Motors reveals concept electric SUV Tata Sierra at Auto Expo 2020 "
03-05-2020, Tata Motors To Pay Rs 3
06-05-2020,What’s the euphoria behind Tata Motors stock? 
08-05-2020, The End of an Era as Tata Motors Prepare To Sell Their Passenger Car Business
09-05-2020, EESL to procure Tata Nexon EV and Hyundai Kona EV |  Sunny Side Up — Tata Harrier XT+ Variant Launched
13-05-2020,Tata Motors restarts operations at selected plants and dealerships |  Tata Altroz EV @ Auto Expo 2020 |  Tata Motors restarts operations at select plants and dealerships
17-05-2020,Who is Tata Motors' new CPO? 
